"relative_path","kind","bytes","sha256"
"data/figure_experiments/correlation_panel_data.csv","data","119508","b5adf12a8b794766c225f9daed184f6c4faf92adcac54b11f8a20c84525dab8a"
"data/figure_experiments/diagnostic_summary.json","data","472","47d0e03be497ca8cd7d1088437206e716f29e919149b58e0fa76e20ee4e4433d"
"data/figure_experiments/feature_signal_summary.csv","data","7054","96f8eccaa352a48cb466209ed560881c38c34ff1f00f98f6dc212277b6eab5d5"
"data/figure_experiments/figure_experiment_blocks.csv","data","153","2bc93c3b86bf494e512f146a97093c3a614f709ccbebe922de032c6bee34dfd7"
"data/figure_experiments/manifest.json","data","452","0b69d7c73969453c494718cc592b4688549f0659020a8063fb7fd5525246b5d2"
"data/figure_experiments/oof_regression_metrics.csv","data","1383","27ba4df7148e7e63bdc17a7cce3cf001f30de63ad094401793b03a9c36ed15fe"
"data/figure_experiments/oof_regression_predictions.csv","data","121482","47befe87b1db0565b7e166b324916e3457601e46ed394aed44997d509ddf0b08"
"data/figure_experiments/pca_tier_coordinates.csv","data","98723","571c72aefae9c51963556a2338c4fa65bba71c3cfa109f009e48b57a9309f7f4"
"data/figure_experiments/proxy_transfer_metrics.csv","data","161","7e09fb41d5fc7b256db5d6c55bcdbbaa7ae596a6bdef8aad55a96e7925b0bb28"
"data/figure_experiments/proxy_transfer_predictions.csv","data","14756","67fd1fe1e2537d0f239fe30adc961c227885a726893d5dcdc724aeb65ad4cd83"
"data/figure_experiments/tier_diagnostic_metrics.csv","data","385","259d95dc68765e311b4c2b319927c5367c7350662e774a70d90c337738cf0614"
"data/figure_experiments/tier_diagnostic_predictions.csv","data","229540","5fc6b1436f8665a6e17f755bfdb8ba16aa95751e90cda59de60a34249221de3f"
"data/main_results/server_v2_cv_metrics.csv","data","53992","1d57d390a20d190e653d3673de26c3056e8b84b6adf427023c4536b4774035eb"
"data/main_results/server_v2_cv_summary.csv","data","9167","1857a526a782e395322969b6652911ebf914aa68a1fff1134185bc50d65c9a0d"
"data/main_results/server_v2_feature_summary.csv","data","228","aa9ff4314ff519bcfc14834a4ff2148937da5cdcbdcaa7e8a3abffe5426671ec"
"data/main_results/server_v2_manifest.json","data","615","ace7625c6b901554a78e9f82ad33159e04f2a8fa782293fc016a51cb6ed42372"
"data/main_results/server_v2_tier_metrics.csv","data","23250","058f620a65d47995b8eb99094657fd2c8878b838994774ed54ffcbba626909db"
"data/main_results/server_v2_tier_summary.csv","data","4535","134546999d34888eaa3e69d4c9284c62c8d14f67e58f9ae10f90133d2e5274a8"
"data/main_results/server_v2_transfer_metrics.csv","data","11851","e5213c6c6aabb4ee4351ca56ecabe58ea231eb9fbdf35bdf25a60ef961aa0f41"
"data/main_results/server_v2_transfer_summary.csv","data","8541","4aee036eaad50691066229607c908a5fef01ee83bfb4d62d2084cb0a1ae8f1d4"
"figures/bookdash_degradation_examples.pdf","figure_output","932566","8bec1ee4dafba9fd6020071ebab0bc4d0347c29edfe7dd8417c33657964e0eaa"
"figures/bookdash_degradation_examples.png","figure_output","812150","f9c8c72b4c5fa1f14e0074835850a09c8ac24ccf03094cb19fe94f96c7e55b2a"
"figures/bookdash_stress_test.pdf","figure_output","18339","97383a6d451f88e0eb7a96959b30ffae2a522ae819e7edddf48972ed650dfb69"
"figures/bookdash_stress_test.png","figure_output","221534","ac9c4b653003164c51e8b3cfb2871e523ef9eeaf014e971b538a3db1d77b585e"
"figures/dml_visual_gain.pdf","figure_output","40972","fa73e991b0588b836c5cb18c24e10171bc1224772044cc5dbd277cce47d2ebbc"
"figures/dml_visual_gain.png","figure_output","176503","5dde73218dbe5962f008ebbd94e44b4f16802c6779a23795ed2aa0d65d339127"
"figures/feature_corr_pie_heatmap.pdf","figure_output","80650","13e9473418863c8257abf7ddc10af7014112a7c6335a476ec10abb50d11a3b87"
"figures/feature_corr_pie_heatmap.png","figure_output","1146879","742e5873a5619a6d82c3af016645bb8d726e9101ecf6f42c2a57ef0710222480"
"figures/framework_overview.pdf","figure_output","172435","e0ce76794df54813f9ad4891d6af2550b0b0c5e7e045b4eb16afb47d06c4a12f"
"figures/framework_overview.png","figure_output","1044176","d7dd176d4b28dc399322795e0496fe1d12d82751f50577453f0ee6e51c8a4aa9"
"figures/main_results.pdf","figure_output","45944","d62c371d61539fa2da97875ab6bc8f9b0d3c87fbc4bf5a55a5db3d057d8cbfe1"
"figures/main_results.png","figure_output","320626","14cf7e7c163ebe721ad07e5c692737b58da4b0e5dcf83b7a393a020422a02fc3"
"figures/oof_regression_marginal.pdf","figure_output","50663","de57ed84727eb3107da01c081ae18b11486a635061d46b117474bd52726ddf4f"
"figures/oof_regression_marginal.png","figure_output","575994","23337520ebdae140175d96bad1124fe79b40494d93dc6733b7606590127d1e33"
"figures/pca_tier_violin.pdf","figure_output","66653","85bab5f8a104fab3ccad0037fc2f7a4e7d16c1e2d446a426e8a0fa952f233635"
"figures/pca_tier_violin.png","figure_output","781220","a1bac1755d4976c7caf7fc7796cad3f77d58fe427f1426afb63a46c03653fb9f"
"figures/screening_transfer.pdf","figure_output","45703","ac7030ff5410fef91349c74ca528c5f1eced711c299f3e3a2604ad211921f2b1"
"figures/screening_transfer.png","figure_output","312442","f8c377c389529515141e3c215ca68fb6c994fe0a14c1745b4bc150753143feda"
"figures/tier_fan_confusion.pdf","figure_output","48428","cdf864816dad05952d73397fe610ca421c7315449f2f341400910db344b58b26"
"figures/tier_fan_confusion.png","figure_output","194533","19dfd6b0460bfbfca2701cd6fe913974a872b7d32ee54716d6b544cc9986cd4b"
"README.md","readme","2759","c448dc45b419ebdf0400a687ace09186e2fd550eb97dc73d77458323ff083e8f"
