block,method,mae,rmse,spearman,pairwise_acc,ndcg
clip512,FS64-Ridge,0.47758916243718263,0.614513200014219,0.054725457094779946,0.5258035310095066,0.9177537448363223
visual_handcrafted,Ridge,0.4779831962684021,0.6185612242093154,0.09968039020103885,0.538026256224536,0.8957136508427715
layout64_clip512,FS64-Ridge,0.47896068040714707,0.6221256062053853,0.04433067753487761,0.5181077410593029,0.9131178202037991
visual_handcrafted,FS64-Ridge,0.48176367091886146,0.6208289218931393,0.055871584635858104,0.5185604345857854,0.8949315740017485
layout64,SVR,0.4856878183536189,0.606698281162333,0.13435999128269385,0.5789950203712086,0.9080533113557514
clip512_visual_handcrafted,FS64-Ridge,0.4863250261745404,0.6269411325440226,0.06900522198181641,0.5314622000905387,0.9017816360207968
visual_handcrafted,HGB,0.4879238966341389,0.6267833442327814,0.0773493890780968,0.5387052965142598,0.9077928130240888
layout64_clip512_visual_handcrafted,FS64-Ridge,0.49397256516054927,0.6361710464428926,0.0638375976446916,0.5287460389316433,0.8957717632702058
layout64_visual_handcrafted,Ridge,0.49770351404983554,0.6313815113881606,0.12526491466639625,0.5556813037573562,0.9028941199592908
layout64_visual_handcrafted,SVR,0.5181590208759866,0.6618393653304977,-0.04163457602385506,0.46604798551380716,0.9019521056065433
visual_handcrafted,SVR,0.5357218940560664,0.672325297609715,-0.008837695617618746,0.48800362154821186,0.90192029968762
clip512,ElasticNet,0.6675709027036523,0.842434623021915,-0.08111483042893419,0.4495246717971933,0.8947201355255396
layout64_clip512_visual_handcrafted,ElasticNet,0.6700182959090831,0.8573130639323622,-0.0037810832899836267,0.492077863286555,0.8874953091183777
clip512_visual_handcrafted,ElasticNet,0.6701317535814388,0.8408183433173219,-0.04142127685367923,0.46672702580353104,0.88388933936458
layout64_clip512,ElasticNet,0.6900228517616135,0.877844364270515,-0.061201219901318285,0.4631054775916704,0.8910056155570102
clip512,Ridge,0.837283592815547,1.046849890645437,-0.08727206647467661,0.4545043005885016,0.8926802223894915
clip512_visual_handcrafted,Ridge,0.8720635308159721,1.0839130852057233,-0.07529318507760176,0.45201448619284745,0.8886048940354617
layout64_clip512,Ridge,0.8940768820986884,1.1469585670629725,-0.0701910689269958,0.4631054775916704,0.8933328897106163
layout64_clip512_visual_handcrafted,Ridge,0.9525814037914424,1.2027399141152575,-0.010345009753527975,0.48868266183793574,0.8893010931449488
