block,method,mae,rmse,spearman,pairwise_acc,ndcg
visual_handcrafted,Mean,0.4858560416666666,0.6022056662727934,0.0,0.0,0.9015178543447814
layout64_clip512,ExtraTrees,0.4858682345679012,0.6051199484828944,0.043954302629625706,0.5238832306762256,0.9047787525508737
layout64_clip512_visual_handcrafted,kNN,0.4869860426127078,0.6061346492604266,0.0805286724247482,0.545835461328578,0.9161503968366139
layout64_visual_handcrafted,kNN,0.48730566966534594,0.6095024381143799,0.051223418692459846,0.5268179455383984,0.9101319142442448
visual_handcrafted,Ridge,0.4876348282496134,0.6124789647837856,0.1021927988425303,0.5532888097563462,0.9145730559727333
clip512_visual_handcrafted,kNN,0.4883499014474443,0.6091570629188526,0.0996984633177306,0.5539727361573631,0.9128694208398033
layout64_clip512,kNN,0.49129240512213207,0.6142505471134455,0.04533857359004669,0.5249846787523598,0.9063186710130811
layout64,RF,0.4916129520348478,0.6151063420291731,-0.0025464610533425746,0.49875532549878193,0.9061540404982701
clip512,kNN,0.49384447824842914,0.6166941205812635,0.07085747975484878,0.5391518792237792,0.9071069454912895
layout64,kNN,0.49583997828598336,0.6171159903591329,0.012955626932676115,0.5080925268956398,0.9069379713100417
layout64_clip512_visual_handcrafted,SVR,0.49603097139969965,0.6179101563137557,0.09313037438952312,0.549904758173899,0.9163042359792459
layout64_clip512_visual_handcrafted,HGB,0.4961047564940747,0.6219745425826926,0.04484994874691124,0.5244684655050801,0.9130533238813026
clip512_visual_handcrafted,HGB,0.4964286206607594,0.6198128534725277,0.07150203405851512,0.5377718043569021,0.9152386069284763
layout64,ExtraTrees,0.4967049755291,0.6213849153585468,-0.008570664918856968,0.497356524573034,0.8991268922498821
layout64,FS64-ExtraTrees,0.4974505059523806,0.6224243603016286,-0.011746819243952744,0.4943736331549203,0.8996923565061333
clip512_visual_handcrafted,SVR,0.4980054583405661,0.6203471840716527,0.10037928931159641,0.5543736433329596,0.9157608775423952
layout64_visual_handcrafted,HGB,0.4985182918475788,0.6284272366414875,0.1035863644072111,0.5526591061241147,0.906236316734742
clip512_visual_handcrafted,FS64-Ridge,0.4988422139485677,0.6225029066568186,0.09693139996201555,0.5510163036595552,0.9115544924977261
clip512,HGB,0.4995330253208329,0.6227228255313849,0.04807820976143971,0.5270364926832192,0.9156251323169066
layout64,ElasticNet,0.5005384976069133,0.6299170409758166,0.023848452178750274,0.5105687209600839,0.9029237205004698
layout64_visual_handcrafted,FS64-Ridge,0.5006208427747091,0.6301014631444894,0.07879139727311188,0.5396413348970226,0.9081817934918934
clip512,SVR,0.501113966307833,0.624800051746655,0.07533268841110724,0.5426291307153077,0.9107066733518263
layout64_clip512,SVR,0.5016398099306045,0.62463559712716,0.054541461408098194,0.531813109506498,0.9100495600646731
layout64_clip512_visual_handcrafted,FS64-Ridge,0.5025590769449869,0.6287400715854782,0.08449384027513662,0.5447808935090194,0.9089656323897568
layout64_clip512,HGB,0.5030817136039905,0.6253189030512858,0.020493676074280917,0.5129725088994366,0.9124550062223566
layout64,FS64-Ridge,0.5035603156089783,0.6338670239081503,0.02878476496302946,0.5132964030431859,0.903207799553196
layout64,Ridge,0.5035603222846985,0.6338670253917484,0.02878476496302946,0.5132964030431859,0.903207799553196
clip512,FS64-Ridge,0.5037399698893229,0.6282442042443608,0.0655022569483491,0.5356106290459128,0.9142376689576915
layout64_visual_handcrafted,ElasticNet,0.504444139957428,0.6383102511325532,0.08605752850557011,0.541663853912262,0.9064774086825471
layout64_clip512,FS64-Ridge,0.5099996147155762,0.6368595307967888,0.034879554255773174,0.5208578145095414,0.9103080696078445
visual_handcrafted,HGB,0.5101915463485777,0.6419773985899725,0.06848812983566557,0.5346369302605262,0.910668786444942
layout64_visual_handcrafted,Ridge,0.5141636338233948,0.6514224312842197,0.08876170355642735,0.5436640978272959,0.9064861545614755
layout64,HGB,0.5150689060235643,0.646795824807246,0.023171268467138174,0.5113945137335598,0.9002769634955292
layout64,SVR,0.5252123117091146,0.6707915714553165,0.017307904951590954,0.5099412190239658,0.9041889891613915
layout64_clip512_visual_handcrafted,PairRankNet,0.5268288145065307,0.6636532820697939,0.08800875967022163,0.5482013945137879,0.9128629538644699
visual_handcrafted,SVR,0.5269562488718421,0.6643544297173012,0.06653304001751291,0.5316997604000377,0.9068848997734709
layout64_visual_handcrafted,SVR,0.5320448828364464,0.6624697505615895,0.0618895811105696,0.5304439587672756,0.9128132270033517
clip512,PairRankNet,0.5358839610417683,0.6740805997392857,0.06313963133398116,0.5372597835947033,0.9118045038484596
visual_handcrafted,PairRankNet,0.5706744843324026,0.7238516771137876,0.061350746345367344,0.5306972660706023,0.9027778694292614
layout64,PairRankNet,0.5780767676035563,0.7411487363142909,0.00955459707703057,0.5065291981936128,0.9008303162911131
layout64_visual_handcrafted,PairRankNet,0.5882366296450298,0.7331932700511988,0.017274803805645167,0.5077731133676722,0.9002295622492248
clip512_visual_handcrafted,ElasticNet,0.6126137603123982,0.7741164494017508,0.08934898369471349,0.5479444056283947,0.9074236311701045
clip512,ElasticNet,0.6313014314969381,0.7954230298227957,0.029075792344326314,0.5162626581902515,0.9002058652083431
layout64_clip512_visual_handcrafted,ElasticNet,0.6443346800804137,0.8175104045654665,0.06591818803914185,0.5357834735043212,0.9075280705423434
layout64_clip512,ElasticNet,0.6632825969854991,0.8431898560747726,0.00344219569505161,0.5033969179472519,0.9041110938665374
clip512,Ridge,0.7676859425703684,0.9780996603123432,0.03348667984045465,0.5185345858142446,0.897039128941502
clip512_visual_handcrafted,Ridge,0.7793352065086365,1.0028020647147198,0.07726936951722503,0.5413363311626833,0.9035876712880532
layout64_clip512,Ridge,0.8726933689117432,1.1189792097887905,-0.023080796125516827,0.48969810006796016,0.8991919665118104
layout64_clip512_visual_handcrafted,Ridge,0.8925625397364298,1.138149277687623,0.03836224590472641,0.5220402327796988,0.9032038276469623
