page_id,book_slug,book_title,page_name,variant,is_original,degradation_type,image_path,public_ui_score
2,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page3,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0002_zibu-and-zizo_zibu-and-zizo_en_page3_clutter_controls.jpg,5.706593726379433
2,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page3,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0002_zibu-and-zizo_zibu-and-zizo_en_page3_tiny_text_band.jpg,5.780437074829927
2,zibu-and-zizo,Zibu and Zizo,zibu-and-zizo_en_page3,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0002_zibu-and-zizo_zibu-and-zizo_en_page3_overlap_text_block.jpg,5.838900226757359
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_original.jpg,5.833317318594098
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_contrast_loss.jpg,5.754513558201054
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_content_crop.jpg,5.729742488662126
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_occluding_prompt.jpg,5.852053004535152
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_clutter_controls.jpg,5.789493150037792
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_tiny_text_band.jpg,5.688187500000002
3,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page1,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0003_a-beautiful-day_a-beautiful-day_en_page1_overlap_text_block.jpg,5.9176763983371155
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_original.jpg,5.789361583522299
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_contrast_loss.jpg,5.746663170823885
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_content_crop.jpg,5.794118953136812
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_occluding_prompt.jpg,5.886216553287978
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_clutter_controls.jpg,5.847607048374902
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_tiny_text_band.jpg,5.703671296296291
4,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page2,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0004_a-beautiful-day_a-beautiful-day_en_page2_overlap_text_block.jpg,5.952673091458806
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_original.jpg,5.891292894935762
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_contrast_loss.jpg,5.762977607709749
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_content_crop.jpg,5.8597507558579025
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_occluding_prompt.jpg,5.944740740740753
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_clutter_controls.jpg,5.935579931972795
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_tiny_text_band.jpg,5.815159486016633
5,a-beautiful-day,A Beautiful Day,a-beautiful-day_en_page3,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0005_a-beautiful-day_a-beautiful-day_en_page3_overlap_text_block.jpg,6.012952380952386
6,look-up,Look up!,look-up_en_page1,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_original.jpg,5.784954270597126
6,look-up,Look up!,look-up_en_page1,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_contrast_loss.jpg,5.754162414965987
6,look-up,Look up!,look-up_en_page1,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_content_crop.jpg,5.7489630574452
6,look-up,Look up!,look-up_en_page1,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_occluding_prompt.jpg,5.803036470143608
6,look-up,Look up!,look-up_en_page1,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_clutter_controls.jpg,5.73402234504913
6,look-up,Look up!,look-up_en_page1,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_tiny_text_band.jpg,5.7452057350718055
6,look-up,Look up!,look-up_en_page1,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0006_look-up_look-up_en_page1_overlap_text_block.jpg,5.79521702569917
7,look-up,Look up!,look-up_en_page2,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_original.jpg,5.592594009826146
7,look-up,Look up!,look-up_en_page2,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_contrast_loss.jpg,5.742348347419772
7,look-up,Look up!,look-up_en_page2,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_content_crop.jpg,5.59042167422524
7,look-up,Look up!,look-up_en_page2,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_occluding_prompt.jpg,5.5473066893424035
7,look-up,Look up!,look-up_en_page2,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_clutter_controls.jpg,5.59208777399848
7,look-up,Look up!,look-up_en_page2,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_tiny_text_band.jpg,5.687506755479966
7,look-up,Look up!,look-up_en_page2,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0007_look-up_look-up_en_page2_overlap_text_block.jpg,5.5241780990173766
8,look-up,Look up!,look-up_en_page3,original,1,original,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_original.jpg,5.723374149659859
8,look-up,Look up!,look-up_en_page3,contrast_loss,0,contrast_loss,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_contrast_loss.jpg,5.772915249433109
8,look-up,Look up!,look-up_en_page3,content_crop,0,content_crop,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_content_crop.jpg,5.745146730914588
8,look-up,Look up!,look-up_en_page3,occluding_prompt,0,occluding_prompt,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_occluding_prompt.jpg,5.8035404383975795
8,look-up,Look up!,look-up_en_page3,clutter_controls,0,clutter_controls,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_clutter_controls.jpg,5.753290249433099
8,look-up,Look up!,look-up_en_page3,tiny_text_band,0,tiny_text_band,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_tiny_text_band.jpg,5.744115929705214
8,look-up,Look up!,look-up_en_page3,overlap_text_block,0,overlap_text_block,/root/autodl-tmp/story-layout-quality/experiment/results/bookdash_stress/variants/0008_look-up_look-up_en_page3_overlap_text_block.jpg,5.830039493575208
