feature,importance_mean,importance_sd,spearman_quality,abs_spearman_quality
grid_sat_1_0,0.013117637214105285,0.001355763878637748,0.016203400909652096,0.016203400909652096
grid_luma_2_1,0.012928427366845009,0.0024955874128848783,0.10139603660284574,0.10139603660284574
grid_luma_3_3,0.012900835355132232,0.0008574196171187646,0.03662288640116076,0.03662288640116076
grid_luma_1_3,0.01279740670729338,0.0009583064564630895,0.04103689888215061,0.04103689888215061
grid_luma_0_0,0.011965890318146547,0.00125642266893549,0.052862091152570394,0.052862091152570394
value_mean,0.01187187979156063,0.001663310254105866,0.06723423953438284,0.06723423953438284
grid_luma_0_3,0.011835664473409465,0.0011468739726245292,0.04076719370222098,0.04076719370222098
grid_luma_0_2,0.011455885933978885,0.0014524024415267917,0.05034205085783727,0.05034205085783727
grid_luma_2_0,0.01138560002838932,0.0018784007545860847,0.08088264319965985,0.08088264319965985
sat_mean,0.011250249689178395,0.0014417918644411306,0.044866407213655396,0.044866407213655396
luma_p25,0.01112720565670115,0.0004962269349521148,0.04948326796755739,0.04948326796755739
grid_luma_0_1,0.01094463933411692,0.0007935699133437281,0.05958980916216501,0.05958980916216501
grid_luma_3_0,0.010475128933799264,0.0006627323770859572,0.07654470967974715,0.07654470967974715
grid_luma_3_2,0.010409890836850018,0.0012259253247887756,0.07191616138948867,0.07191616138948867
grid_luma_2_3,0.010302560716335582,0.0013825266426091113,0.05570723656780656,0.05570723656780656
grid_luma_3_1,0.010241926659572348,0.0009171131154599366,0.08009436370272176,0.08009436370272176
grid_sat_1_2,0.009713499134372711,0.0008502255221829603,-0.012993463941943414,0.012993463941943414
grid_sat_2_0,0.009584226144891008,0.0012091577904364652,0.0147107464225444,0.0147107464225444
grid_sat_3_3,0.009440994601847719,0.0008566451494787921,0.0253192867038686,0.0253192867038686
grid_sat_3_0,0.009340377512291635,0.0009896790580592037,0.02559964459678304,0.02559964459678304
grid_sat_1_1,0.009209501369728326,0.0009401432710764117,-0.00041630187264241693,0.00041630187264241693
grid_sat_1_3,0.008636855172024359,0.00026376272736106386,-0.004065720779651972,0.004065720779651972
grid_sat_2_2,0.008540665731432747,0.0012184998090633452,-0.01587184124908916,0.01587184124908916
luma_mean,0.008500624095830776,0.0007723448446023604,0.06618448034397,0.06618448034397
grid_sat_3_1,0.00839694963610591,0.0018800999645745766,0.0034940613503581814,0.0034940613503581814
luma_p50,0.008060359174676946,0.0002287145479165495,0.08938198815530883,0.08938198815530883
grid_sat_2_3,0.008057397401088412,0.0003719842469044148,0.0031308054304300193,0.0031308054304300193
grid_sat_3_2,0.0076289648804033616,0.0006897956988976375,0.017473549285576647,0.017473549285576647
grid_sat_2_1,0.007101650343472593,0.0008191012394539113,-0.0012201446681554258,0.0012201446681554258
luma_p75,0.006995891998392611,0.0010891192472722948,0.10386682741264627,0.10386682741264627
luma_contrast,0.006211800513958671,0.00024897563102114443,0.06608364399084159,0.06608364399084159
luma_p95,0.004724413954439,0.0005403259396748539,0.07866141678998091,0.07866141678998091
luma_p05,0.0019757679383385256,0.0005819087033122247,0.014311154187680359,0.014311154187680359
width_k,0.001144652773319368,0.00012448985239420004,-0.007639763051082583,0.007639763051082583
height_k,0.001028558528208595,4.462593850425506e-05,-0.007639763051082583,0.007639763051082583
aspect,0.0,0.0,0.0,0.0
